id;data_criacao;marca;modelo;kms;data_peritagem;oficina;estado;autoriz_repar;orc_pecas;orc_mo_chapa;orc_mo_pintura;orc_mat_pintura;orc_mat_comp;imobilizado;data_reboque;ponto_situacao;agendamento_repar;tempo_repar;data_real_inicio_repar;data_real_fim_repar;dias_atraso_sem_fds;mao_obra_chapa;mao_obra_pintura;mo_horas_orc_pintura;mo_horas_orc_chapa
3773;17/10/2023;Renault;ZOE;0;27/10/2023;Carnaxide;Definitiva;30/10/2023;614,34;146,44;59,55;55,12;0;Não;;Concluído;16/11/2023;2;16/11/2023;17/11/2023;0;1,5;1;1,53;3,75
3821;23/10/2023;BMW;Serie 2;0;27/10/2023;Carnaxide;Definitiva;30/10/2023;1 348,88 €;305,07;181,09;124,08;0;Não;;Concluído;28/11/2023;4;28/11/2023;29/11/2023;0;3,5;3;4,64;7,82
3829;24/10/2023;SEAT;Alhambra;124020;27/10/2023;Carnaxide;Definitiva;31/10/2023;523,1;68,33;47,35;19,53;0;Não;;Concluído;15/11/2023;2;15/11/2023;16/11/2023;0;0,5;0,5;1,21;1,75
3824;24/10/2023;Renault;Clio;162168;25/10/2023;Queluz;Definitiva;26/10/2023;1 228,32 €;244,06;76,14;79,92;0;Não;;Concluído;23/11/2023;2;23/11/2023;24/11/2023;0;2,5;2;1,95;6,26
3808;20/10/2023;Mercedes-Benz;Sprinter;45908;25/10/2023;Carnaxide;Definitiva;25/10/2023;114,58;768,45;99,08;16,68;0;Não;;Concluído;27/12/2023;3;27/12/2023;29/12/2023;0;3;2;2,54;19,7
3817;23/10/2023;Ford;Focus;91642;24/10/2023;Carnaxide;Definitiva;25/10/2023;240,81;224,53;157,66;61,83;0;Não;;Concluído;22/11/2023;3;22/11/2023;24/11/2023;0;2;2,5;4,04;5,76
3818;23/10/2023;Peugeot;308;29920;24/10/2023;Carnaxide;Definitiva;24/10/2023;964,71;82,98;67,36;75,1;0;Não;;Concluído;15/11/2023;2;15/11/2023;16/11/2023;0;1;1;1,73;2,13
3806;20/10/2023;Peugeot;5008;162062;23/10/2023;Carnaxide;Definitiva;24/10/2023;161,35;29,29;52,23;17,59;0;Não;;Concluído;09/11/2023;2;09/11/2023;09/11/2023;0;0,5;0,5;1,34;0,75
3787;18/10/2023;Peugeot;508;105455;23/10/2023;Carnaxide;Definitiva;23/10/2023;193,07;551,55;288,47;149,31;0;Não;;Concluído;21/11/2023;4;21/11/2023;24/11/2023;0;5,5;4;7,4;14,14
3754;16/10/2023;Peugeot;208;128111;20/10/2023;Queluz;Definitiva;26/10/2023;544,46;361,2;179,13;87,26;0;Não;;Concluído;27/11/2023;3;27/11/2023;28/11/2023;0;3,5;3,5;4,59;9,26
3761;16/10/2023;Peugeot;Expert;99665;20/10/2023;Carnaxide;Definitiva;20/10/2023;167,11;649,17;276,26;129,22;0;Não;;Concluído;21/11/2023;4;21/11/2023;23/11/2023;0;8;5;7,08;16,65
3783;18/10/2023;Peugeot;2008;24238;20/10/2023;Carnaxide;Definitiva;23/10/2023;441,88;205;96,64;47,54;0;Não;;Concluído;21/11/2023;3;21/11/2023;21/11/2023;0;2;1,5;2,48;5,26
3799;19/10/2023;Citroen;C3;43933;20/10/2023;Carnaxide;Definitiva;30/10/2023;440,54;346,55;130,32;91,03;0;Não;;Concluído;23/11/2023;3;23/11/2023;24/11/2023;0;2;2;3,34;8,89
3669;04/10/2023;Citroen;Berlingo;124985;09/10/2023;Queluz;Definitiva;20/10/2023;1 784,8 €;1 400,85 €;401,22;218,51;0;Não;;Concluído;23/10/2023;6;23/10/2023;27/10/2023;0;12;5,5;10,29;35,92
3764;16/10/2023;BMW;X1;111970;18/10/2023;Carnaxide;Definitiva;19/10/2023;312,76;93,56;102,01;66,33;0;Não;;Concluído;22/11/2023;3;22/11/2023;24/11/2023;0;1,5;2;2,62;2,4
3763;16/10/2023;BMW;Serie 2;21432;17/10/2023;Carnaxide;Definitiva;18/10/2023;362,2;1 049,42 €;257,23;143,55;0;Não;;Concluído;10/11/2023;6;10/11/2023;15/11/2023;0;12;4;6,6;26,91
3739;12/10/2023;Renault;Kangoo;263842;16/10/2023;Carnaxide;Definitiva;16/10/2023;638,32;824,89;284,56;137,03;0;Não;;Concluído;20/11/2023;5;20/11/2023;22/11/2023;0;9;4,5;7,3;21,15
3748;13/10/2023;SEAT;Leon;78596;16/10/2023;Carnaxide;Definitiva;16/10/2023;40,7;209,89;130,32;91,03;0;Não;;Concluído;15/11/2023;3;15/11/2023;17/11/2023;0;2;2;3,34;5,38
3753;16/10/2023;Opel;Corsa;90795;16/10/2023;Carnaxide;Definitiva;17/10/2023;526,6;136,67;172,3;118,3;0;Não;;Concluído;14/11/2023;3;14/11/2023;15/11/2023;0;2;3;4,42;3,5
3622;28/09/2023;Mercedes-Benz;GLC SUV (253);108259;13/10/2023;Queluz;Definitiva;30/10/2023;2 238,62 €;800,49;524,22;344,73;0;Não;;Concluído;11/12/2023;5;11/12/2023;15/12/2023;0;6;10;13,44;20,53
3706;10/10/2023;BMW;X3;250117;13/10/2023;Carnaxide;Definitiva;13/10/2023;117,37;268,46;122,03;37,78;0;Não;;Concluído;08/11/2023;3;08/11/2023;09/11/2023;0;2;2;3,13;6,88
3730;11/10/2023;Renault;Megane;99623;13/10/2023;Carnaxide;Definitiva;08/11/2023;969,26;258,69;128,37;106,61;0;Não;;Concluído;09/11/2023;3;09/11/2023;10/11/2023;0;3;2,5;3,29;6,63
3719;11/10/2023;Jeep;Renegade;84827;13/10/2023;Carnaxide;Definitiva;16/11/2023;1 652,42 €;362,62;138,62;69,2;0;Não;;Concluído;19/12/2023;3;19/12/2023;20/12/2023;0;3;2,5;3,55;9,3
3726;11/10/2023;Peugeot;3008;49820;12/10/2023;Queluz;Definitiva;13/10/2023;1 553,15 €;234,29;59,55;55,12;0;Não;;Concluído;17/10/2023;12;17/10/2023;23/10/2023;0;3;1;1,53;6,01
3736;12/10/2023;Opel;Insignia;107977;12/10/2023;Queluz;Definitiva;17/10/2023;264,67;873,7;414,89;245,67;0;Não;;Concluído;27/10/2023;5;27/10/2023;02/11/2023;0;8;8,5;10,64;22,4
